Bar,lat,lon,state,state_distric,place,postcode,contact,cervezas
El Tergal,36.2978748,-6.1387375,Andalucía,-,Conil de la Frontera,11400,-,-
TGB,36.2737385,-6.0900476,Andalucía,-,Conil de la Frontera,11140,-,-
Los Corales,36.2756013,-6.0919883,Andalucía,-,Conil de la Frontera,11140,-,-
El Pasaje,36.2738017,-6.0902967,Andalucía,-,Conil de la Frontera,11140,-,-
Playa,36.2740121,-6.0906206,Andalucía,-,Conil de la Frontera,11140,-,-
Bristo del mar,36.2754489,-6.0918116,Andalucía,-,Conil de la Frontera,11140,-,-
Club Roche,36.3161917,-6.1509547,Andalucía,-,Conil de la Frontera,11400,-,-
Bar Sopa,36.2761196,-6.0915009,Andalucía,-,Conil de la Frontera,11140,-,-
Venta El canario,36.3112835,-6.0830245,Andalucía,-,Conil de la Frontera,11149,-,-
La Almazara,36.2778445,-6.0879191,Andalucía,-,Conil de la Frontera,11140,-,-
La Almazara,36.2778263,-6.0879155,Andalucía,-,Conil de la Frontera,11140,-,-
Fuguilla Beach,36.2722921,-6.0923789,Andalucía,-,Conil de la Frontera,11140,-,-
Feduchy,36.2761858,-6.0873687,Andalucía,-,Conil de la Frontera,11140,-,-
Oasis,36.2741412,-6.0900155,Andalucía,-,Conil de la Frontera,11140,-,-
El Huerto,36.2791108,-6.0971635,Andalucía,-,Conil de la Frontera,11140,-,-
La Ola,36.2794383,-6.0976885,Andalucía,-,Conil de la Frontera,11140,-,-
Pizzeria Milano,36.2759880,-6.0924282,Andalucía,-,Conil de la Frontera,11140,-,-
Sushi Bar,36.2784194,-6.0895002,Andalucía,-,Conil de la Frontera,11140,-,-
El rincón de la tapa,36.2795070,-6.0894389,Andalucía,-,Conil de la Frontera,11140,-,-
Bar El Pincho,36.2793053,-6.0893475,Andalucía,-,Conil de la Frontera,11140,-,-
El Rincón de la Villa,36.2754003,-6.0882413,Andalucía,-,Conil de la Frontera,11140,-,-
Txikote,36.2791205,-6.0881788,Andalucía,-,Conil de la Frontera,11140,-,-
El Establo,36.2781627,-6.0875493,Andalucía,-,Conil de la Frontera,11140,-,-
Cala Escondida,36.3079659,-6.1497136,Andalucía,-,Conil de la Frontera,11400,-,-
Chiringuito el Roqueo,36.2841043,-6.1020884,Andalucía,-,Conil de la Frontera,11140,-,-
Asador Roche,36.3167782,-6.1506284,Andalucía,-,Conil de la Frontera,11400,-,-
Taberna La Chanca,36.2742203,-6.0895423,Andalucía,-,Conil de la Frontera,11140,-,-
Los mellizos,36.3406269,-6.0946499,Andalucía,-,Conil de la Frontera,11149,-,-
